Date,AXISBANK.NS,BANKBARODA.NS,CANBK.NS,HDFCBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,KOTAKBANK.NS,SBIN.NS
2022-01-03,696.3499755859375,83.80000305175781,41.09000015258789,1519.6500244140625,764.7000122070312,912.2999877929688,1824.449951171875,470.79998779296875
2022-01-04,709.1500244140625,83.9000015258789,41.310001373291016,1528.550048828125,772.8499755859375,904.4000244140625,1852.5999755859375,483.5
2022-01-05,726.9000244140625,84.9000015258789,42.20000076293945,1564.8499755859375,788.0499877929688,903.9500122070312,1922.1500244140625,492.3999938964844
2022-01-06,730.2999877929688,86.5999984741211,42.5,1539.75,785.0499877929688,921.7000122070312,1891.9000244140625,491.70001220703125
2022-01-07,730.5999755859375,87.5999984741211,42.459999084472656,1550.550048828125,793.25,922.25,1904.25,491.25
2022-01-10,742.7999877929688,92.1500015258789,43.939998626708984,1559.1500244140625,810.75,920.8499755859375,1947.949951171875,503.6499938964844
2022-01-11,743.25,92.19999694824219,44.279998779296875,1565.9000244140625,810.6500244140625,917.9500122070312,1936.800048828125,505.95001220703125
2022-01-12,746.8499755859375,92.75,44.54999923706055,1556.6500244140625,823.75,941.5499877929688,1956.5999755859375,510.25
2022-01-13,740.7000122070312,93.9000015258789,45.06999969482422,1528.0,824.7000122070312,927.0999755859375,1926.3499755859375,511.3500061035156
2022-01-14,721.7000122070312,93.5999984741211,45.529998779296875,1545.1500244140625,820.0,920.0499877929688,1938.199951171875,508.3500061035156
2022-01-17,712.6500244140625,93.75,45.540000915527344,1521.5,819.2999877929688,920.5,1937.449951171875,514.0
2022-01-18,725.2000122070312,92.25,44.619998931884766,1529.25,823.0999755859375,899.6500244140625,1942.1500244140625,506.79998779296875
2022-01-19,729.5999755859375,95.8499984741211,45.68000030517578,1518.449951171875,808.5999755859375,893.25,1905.6500244140625,515.7999877929688
2022-01-20,728.9000244140625,96.69999694824219,45.689998626708984,1509.0,810.25,877.2000122070312,1892.5999755859375,511.3999938964844
2022-01-21,712.5,92.69999694824219,43.119998931884766,1521.5999755859375,804.5,854.0999755859375,1893.75,502.70001220703125
2022-01-24,704.5999755859375,92.5999984741211,41.7400016784668,1486.6500244140625,798.4500122070312,851.25,1830.9000244140625,494.1499938964844
2022-01-25,752.2000122070312,98.5,44.279998779296875,1488.050048828125,801.6500244140625,884.25,1854.6500244140625,514.6500244140625
2022-01-27,773.8499755859375,103.5,48.15999984741211,1474.949951171875,794.6500244140625,888.0999755859375,1889.25,528.9500122070312
2022-01-28,764.7000122070312,103.30000305175781,47.779998779296875,1463.25,781.1500244140625,903.5499877929688,1898.300048828125,523.4500122070312
2022-01-31,773.0499877929688,107.55000305175781,50.59000015258789,1485.699951171875,788.7999877929688,872.0999755859375,1857.25,538.2999877929688
2022-02-01,781.9000244140625,106.1500015258789,51.75,1497.0,810.2999877929688,922.2999877929688,1882.300048828125,532.2999877929688
2022-02-02,804.0999755859375,109.4000015258789,53.93000030517578,1531.199951171875,813.75,975.3499755859375,1942.5999755859375,539.7999877929688
2022-02-03,799.5499877929688,109.55000305175781,52.97999954223633,1515.3499755859375,808.9500122070312,958.3499755859375,1909.050048828125,540.0999755859375
2022-02-04,798.5499877929688,106.55000305175781,52.20000076293945,1524.0,805.0499877929688,956.0499877929688,1884.199951171875,530.2999877929688
2022-02-07,789.5999755859375,112.94999694824219,51.619998931884766,1468.1500244140625,786.4000244140625,933.0499877929688,1828.449951171875,533.25
